var_leger,q_text,var_bp
record,record: Record number,record_id
uuid,uuid: Participant identifier,response_id
date,date: Completion time and date,survey_completion_date
QLANG,QLANG: Would you prefer to complete the survey in English or French? Préféreriez-vous répondre à ce questionnaire en anglais ou en français?,survey_lang
PROV,PROV: In which province or territory do you live?,scr_province
QON,QON: In which region of Ontario do you live?,scr_on_region
CANREG,CANREG: Régions Canadiennes :,scr_can_region
sexe,sexe: Which of the following best describes your gender?,demo_gender
age,age: How old are you?,scr_age
EMPLO,EMPLO: Which of the following best describes your current employment situation?,lfs_employment_situation
SCOL,SCOL: What is the highest level of education you have completed?,educ_max
AGENUM,AGENUM: How old are you?,demo_age
ETHNr1,ETHNr1: White - Which of the following best describes you?,demo_race_white
ETHNr2,"ETHNr2: Indigenous (First Nations, Métis, Inuk / Inuit) - Which of the following best describes you?",demo_race_indigenous
ETHNr3,ETHNr3: Latin American - Which of the following best describes you?,demo_race_latinx
ETHNr4,ETHNr4: Middle Eastern / North African - Which of the following best describes you?,demo_race_mid_east
ETHNr5,ETHNr5: Black - Which of the following best describes you?,demo_race_black
ETHNr6,ETHNr6: South Asian - Which of the following best describes you?,demo_race_south_asian
ETHNr7,ETHNr7: Southeast Asian - Which of the following best describes you?,demo_race_southeast_asian
ETHNr8,ETHNr8: West Asian / Central Asian - Which of the following best describes you?,demo_race_west_asian
ETHNr9,ETHNr9: Chinese - Which of the following best describes you?,demo_race_chinese
ETHNr10,ETHNr10: Filipino - Which of the following best describes you?,demo_race_filipino
ETHNr11,ETHNr11: Japanese - Which of the following best describes you?,demo_race_japanese
ETHNr12,ETHNr12: Korean - Which of the following best describes you?,demo_race_korean
ETHNr96,ETHNr96: Self-describe : - Which of the following best describes you?,demo_race_other
ETHNr99,ETHNr99: I prefer not to answer - Which of the following best describes you?,demo_race_decline
ETHNr96oe,ETHNr96oe: Which of the following best describes you? - Self-describe :,demo_race_other_text
sexer96oe,sexer96oe: Which of the following best describes your gender? - I would prefer to self-describe,demo_gender_other_text
NEWCOMER,NEWCOMER: Which of the following best describes you?,demo_migration
Q1Hr1,"Q1Hr1: Yes, I do identify as a person with an invisible disability - Do you self-identify as a person with a disability/impairment?",demo_disability_hidden
Q1Hr2,"Q1Hr2: Yes, I do identify as a person with a visible disability - Do you self-identify as a person with a disability/impairment?",demo_disability_visible
Q1Hr3,"Q1Hr3: No, I do not identify as having a disability - Do you self-identify as a person with a disability/impairment?",demo_disability_none
Q1Hr99,Q1Hr99: Prefer not to answer - Do you self-identify as a person with a disability/impairment?,demo_disability_decline
SCREENERr1,SCREENERr1: 18-24 - SCREENER - must fall into at least one category below to qualify.,ig_youth
SCREENERr2,SCREENERr2: Newcomer 2-4 - SCREENER - must fall into at least one category below to qualify.,ig_newcomer
SCREENERr3,SCREENERr3: ETHN 2-12 or 96 - SCREENER - must fall into at least one category below to qualify.,ig_racialized
SCREENERr4,SCREENERr4: Disabled 1 or 2 - SCREENER - must fall into at least one category below to qualify.,ig_disability
SCREENERr99,SCREENERr99: NQ - SCREENER - must fall into at least one category below to qualify.,scr_n_ig
SCREENER2,SCREENER2: Screener disqualifier,scr_qualified
Q9r1,Q9r1: Employment Insurance (EI) - Have you ever received payments through any of the following programs?,benefits_ei_ever
Q9r2,Q9r2: Ontario Works (OW) - Have you ever received payments through any of the following programs?,benefits_ow_ever
Q9r3,Q9r3: Ontario Disability Support Program (ODSP) - Have you ever received payments through any of the following programs?,benefits_odsp_ever
Q10r1,"Q10r1: Employment Insurance (EI) - In the last two months, have you received payments through any of the following programs?",benefits_ei_now
Q10r2,"Q10r2: Ontario Works (OW) - In the last two months, have you received payments through any of the following programs?",benefits_ow_now
Q10r3,"Q10r3: Ontario Disability Support Program (ODSP) - In the last two months, have you received payments through any of the following programs?",benefits_odsp_now
Q12,Q12: Did you complete your highest level of education in Canada or outside of Canada?,educ_max_domestic
Q14,"Q14: In the past week, have you earned income by working at a job or managing a business?",lfs_employed
Q15,"Q15: In the past week, how many jobs did you work?",lfs_n_jobs
Job_countr1,Job_countr1: 1 - # of job(s).,lfs_n_jobs_1
Job_countr2,Job_countr2: 2 - # of job(s).,lfs_n_jobs_2
Job_countr3,Job_countr3: 3 or more - # of job(s).,lfs_n_jobs_3
Q17_Lr1,Q17_Lr1: Please provide a nickname for your job. We'll use this name to make sure we know which job we're asking about.,job_1_name
Q18_M_Lr1c1,Q18_M_Lr1c1: When did you start [pipe: Q17_Lr1]?,job_1_start_month
Q18_Y_Lr1c1,Q18_Y_Lr1c1: When did you start [pipe: Q17_Lr1]?,job_1_start_year
Q19_Lr1r1,"Q19_Lr1r1: Overall, I am satisfied with this job - How do you feel about [pipe: Q17_Lr1]?",job_1_satis_overall
Q19_Lr1r2,"Q19_Lr1r2: In this job, I will be able to advance in my career - How do you feel about [pipe: Q17_Lr1]?",job_1_satis_advance
Q19_Lr1r3,Q19_Lr1r3: I worry about losing my job - How do you feel about [pipe: Q17_Lr1]?,job_1_satis_precarity
Q20_Lr1r1,Q20_Lr1r1: Casual (you are called into work on an as-needed basis) - How would you describe [pipe: Q17_Lr1]?,job_1_is_casual
Q20_Lr1r2,Q20_Lr1r2: Seasonal (you only work at certain times of the year) - How would you describe [pipe: Q17_Lr1]?,job_1_is_seasonal
